base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
95.05	63.21	64.7	0.01	[99.0, 97.71, 97.29, 96.86, 96.71, 96.71, 95.05, 95.05, 95.05, 95.05]	[nan, 91.98, 90.71, 89.3, 87.41, 80.19, 79.92, 63.88, 62.82, 63.21]	[99.0, 94.46, 92.45, 90.47, 88.46, 81.8, 81.28, 65.37, 64.38, 64.7]	[0.0, 0.03, 0.02, 0.01, 0.0, 0.01, 0.02, 0.01, 0.01, 0.01]	voc2007_cap_contrast_only	voc2007	./data	cap_contrast_only	64	20	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	8	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	2	2	20	10	checkpoint/voc2007_cap_contrast_only	[224, 224]
95.0	63.23	64.72	0.0	[98.86, 97.71, 97.29, 96.86, 96.71, 96.71, 95.0, 95.0, 95.0, 95.0]	[nan, 91.67, 90.61, 89.27, 87.4, 80.18, 79.94, 63.89, 62.84, 63.23]	[98.86, 94.29, 92.38, 90.45, 88.46, 81.79, 81.28, 65.39, 64.4, 64.72]	[0.0, 0.03, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	voc2007_cap_contrast_only	voc2007	./data	cap_contrast_only	64	20	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	8	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	2	2	20	10	checkpoint/voc2007_cap_contrast_only	[224, 224]
95.05	63.22	64.71	0.0	[99.0, 97.71, 97.29, 96.86, 96.71, 96.71, 95.05, 95.05, 95.05, 95.05]	[nan, 91.92, 90.67, 89.29, 87.4, 80.19, 79.93, 63.88, 62.83, 63.22]	[99.0, 94.42, 92.43, 90.46, 88.46, 81.8, 81.28, 65.37, 64.39, 64.71]	[0.0, 0.02, 0.02, 0.0, 0.0, 0.01, 0.01, 0.0, 0.0, 0.0]	voc2007_cap_contrast_only	voc2007	./data	cap_contrast_only	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	2	2	20	10	checkpoint/voc2007_cap_contrast_only	[224, 224]
95.48	62.89	64.41	0.15	[99.52, 97.66, 97.19, 96.95, 96.81, 96.81, 95.53, 95.48, 95.48, 95.48]	[nan, 92.36, 90.67, 89.27, 87.28, 80.1, 79.86, 63.51, 62.48, 62.89]	[99.52, 94.66, 92.4, 90.46, 88.36, 81.73, 81.26, 65.05, 64.08, 64.41]	[0.17, 0.26, 0.18, 0.11, 0.14, 0.13, 0.04, 0.18, 0.17, 0.15]	voc2007_cap_contrast_only	voc2007	./data	cap_contrast_only	64	20	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	8	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	2	2	20	10	checkpoint/voc2007_cap_contrast_only	[224, 224]
95.19	63.21	64.71	0.01	[99.09, 97.71, 97.29, 96.86, 96.71, 96.71, 95.19, 95.19, 95.19, 95.19]	[nan, 92.19, 90.76, 89.34, 87.41, 80.22, 79.94, 63.86, 62.81, 63.21]	[99.09, 94.58, 92.49, 90.51, 88.47, 81.82, 81.31, 65.37, 64.38, 64.71]	[0.07, 0.1, 0.04, 0.03, 0.0, 0.02, 0.03, 0.02, 0.02, 0.01]	voc2007_cap_contrast_only	voc2007	./data	cap_contrast_only	64	20	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	2	2	20	10	checkpoint/voc2007_cap_contrast_only	[224, 224]
95.29	63.01	64.52	0.06	[99.43, 97.71, 97.14, 96.86, 96.71, 96.71, 95.29, 95.29, 95.29, 95.29]	[nan, 92.5, 90.85, 89.34, 87.37, 80.19, 79.91, 63.63, 62.6, 63.01]	[99.43, 94.76, 92.51, 90.51, 88.42, 81.8, 81.28, 65.16, 64.18, 64.52]	[0.11, 0.03, 0.11, 0.06, 0.08, 0.08, 0.03, 0.06, 0.06, 0.06]	voc2007_cap_contrast_only	voc2007	./data	cap_contrast_only	64	20	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	2	2	20	10	checkpoint/voc2007_cap_contrast_only	[224, 224]
95.0	63.23	64.72	0.0	[98.86, 97.71, 97.29, 96.86, 96.71, 96.71, 95.0, 95.0, 95.0, 95.0]	[nan, 91.64, 90.59, 89.26, 87.4, 80.18, 79.94, 63.89, 62.84, 63.23]	[98.86, 94.27, 92.37, 90.44, 88.46, 81.79, 81.28, 65.39, 64.4, 64.72]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	voc2007_cap_contrast_only	voc2007	./data	cap_contrast_only	64	20	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	2	2	20	10	checkpoint/voc2007_cap_contrast_only	[224, 224]
95.0	63.23	64.72	0.0	[98.86, 97.71, 97.29, 96.86, 96.71, 96.71, 95.0, 95.0, 95.0, 95.0]	[nan, 91.64, 90.59, 89.26, 87.4, 80.18, 79.94, 63.89, 62.84, 63.23]	[98.86, 94.27, 92.37, 90.44, 88.46, 81.79, 81.28, 65.39, 64.4, 64.72]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	voc2007_cap_contrast_only	voc2007	./data	cap_contrast_only	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	2	2	20	10	checkpoint/voc2007_cap_contrast_only	[224, 224]
95.0	63.23	64.72	0.0	[98.86, 97.71, 97.29, 96.86, 96.71, 96.71, 95.0, 95.0, 95.0, 95.0]	[nan, 91.67, 90.61, 89.27, 87.4, 80.18, 79.94, 63.89, 62.84, 63.23]	[98.86, 94.29, 92.38, 90.45, 88.46, 81.79, 81.28, 65.39, 64.4, 64.72]	[0.0, 0.03, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	voc2007_cap_contrast_only	voc2007	./data	cap_contrast_only	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	2	2	20	10	checkpoint/voc2007_cap_contrast_only	[224, 224]
95.48	62.99	64.51	0.2	[99.38, 97.71, 97.24, 96.95, 96.81, 96.81, 95.53, 95.48, 95.48, 95.48]	[nan, 92.23, 90.71, 89.3, 87.31, 80.13, 79.91, 63.61, 62.58, 62.99]	[99.38, 94.59, 92.44, 90.48, 88.38, 81.76, 81.3, 65.14, 64.17, 64.51]	[0.29, 0.17, 0.17, 0.08, 0.14, 0.12, 0.04, 0.23, 0.22, 0.2]	voc2007_cap_contrast_only	voc2007	./data	cap_contrast_only	64	10	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	2	2	20	10	checkpoint/voc2007_cap_contrast_only	[224, 224]
95.0	63.23	64.72	0.0	[98.86, 97.71, 97.29, 96.86, 96.71, 96.71, 95.0, 95.0, 95.0, 95.0]	[nan, 91.64, 90.59, 89.26, 87.4, 80.18, 79.94, 63.89, 62.84, 63.23]	[98.86, 94.27, 92.37, 90.44, 88.46, 81.79, 81.28, 65.39, 64.4, 64.72]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	voc2007_cap_contrast_only	voc2007	./data	cap_contrast_only	64	20	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	2	2	20	10	checkpoint/voc2007_cap_contrast_only	[224, 224]
