base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
60.05	72.28	71.0	0.57	[82.57, 76.78, 74.98, 72.07, 67.52, 66.54, 64.86, 62.7, 61.02, 60.05]	[nan, 83.13, 84.23, 83.25, 80.22, 78.16, 78.29, 75.96, 73.66, 72.28]	[82.77, 79.84, 80.94, 80.24, 77.44, 76.03, 76.18, 74.2, 72.19, 71.0]	[0.48, 0.52, 0.44, 0.63, 0.66, 0.65, 0.58, 0.56, 0.57, 0.57]	food101_contrast_and_calibration	food101	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	11	10	101	10	checkpoint/food101_contrast_and_calibration	[224, 224]
62.33	72.44	71.39	0.11	[83.22, 77.54, 75.87, 72.9, 68.78, 67.77, 66.47, 64.76, 63.17, 62.33]	[nan, 83.31, 84.3, 83.41, 80.44, 78.32, 78.37, 76.04, 73.8, 72.44]	[83.46, 80.28, 81.25, 80.55, 77.88, 76.38, 76.49, 74.55, 72.58, 71.39]	[0.06, 0.11, 0.08, 0.09, 0.11, 0.12, 0.12, 0.08, 0.08, 0.11]	food101_contrast_and_calibration	food101	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	11	10	101	10	checkpoint/food101_contrast_and_calibration	[224, 224]
44.28	73.6	70.46	0.68	[84.05, 64.62, 61.66, 58.34, 53.59, 52.73, 50.19, 47.61, 45.44, 44.28]	[nan, 88.0, 87.01, 85.26, 82.05, 79.82, 79.71, 77.39, 75.28, 73.6]	[84.33, 75.9, 78.07, 78.07, 75.86, 74.9, 75.11, 73.4, 71.73, 70.46]	[0.32, 3.07, 2.21, 1.53, 1.08, 0.89, 0.81, 0.76, 0.63, 0.68]	food101_contrast_and_calibration	food101	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	11	10	101	10	checkpoint/food101_contrast_and_calibration	[224, 224]
32.94	73.28	68.94	0.42	[84.62, 54.42, 51.15, 47.77, 43.65, 42.5, 38.91, 35.81, 34.11, 32.94]	[nan, 88.47, 86.8, 85.01, 82.0, 79.7, 79.4, 76.9, 74.81, 73.28]	[84.89, 70.81, 74.2, 75.05, 73.68, 72.96, 73.1, 71.37, 69.95, 68.94]	[0.58, 2.59, 1.99, 1.44, 1.01, 0.8, 0.91, 0.76, 0.55, 0.42]	food101_contrast_and_calibration	food101	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	11	10	101	10	checkpoint/food101_contrast_and_calibration	[224, 224]
59.65	72.51	71.16	0.35	[82.06, 76.35, 74.61, 71.61, 66.99, 65.81, 64.17, 62.46, 60.57, 59.65]	[nan, 83.67, 84.63, 83.55, 80.56, 78.48, 78.53, 76.25, 73.96, 72.51]	[82.18, 79.84, 81.04, 80.32, 77.59, 76.16, 76.27, 74.42, 72.4, 71.16]	[1.25, 0.55, 0.46, 0.4, 0.53, 0.42, 0.33, 0.3, 0.34, 0.35]	food101_contrast_and_calibration	food101	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	11	10	101	10	checkpoint/food101_contrast_and_calibration	[224, 224]
0.0	1.14	1.01	0.05	[9.94, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[nan, 9.99, 4.75, 3.16, 2.41, 1.92, 1.6, 1.43, 1.25, 1.14]	[10.79, 4.71, 3.05, 2.3, 1.88, 1.57, 1.35, 1.23, 1.1, 1.01]	[0.12, 0.01, 0.21, 0.17, 0.09, 0.07, 0.06, 0.02, 0.02, 0.05]	food101_contrast_and_calibration	food101	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	1.0	-1	1.0	False	False	True	False	11	10	101	10	checkpoint/food101_contrast_and_calibration	[224, 224]
62.32	72.53	71.47	0.05	[82.88, 77.71, 76.22, 73.63, 69.26, 68.18, 66.78, 64.81, 63.27, 62.32]	[nan, 82.87, 84.21, 83.35, 80.4, 78.36, 78.41, 76.1, 73.88, 72.53]	[83.09, 80.17, 81.33, 80.71, 77.95, 76.49, 76.58, 74.61, 72.66, 71.47]	[0.39, 0.15, 0.06, 0.16, 0.11, 0.09, 0.04, 0.03, 0.05, 0.05]	food101_contrast_and_calibration	food101	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	11	10	101	10	checkpoint/food101_contrast_and_calibration	[224, 224]
43.62	73.08	69.92	0.74	[84.17, 64.06, 61.29, 57.8, 53.73, 52.57, 49.34, 46.58, 44.8, 43.62]	[nan, 87.4, 86.23, 84.55, 81.32, 79.36, 79.3, 76.98, 74.82, 73.08]	[84.43, 75.31, 77.43, 77.4, 75.31, 74.48, 74.62, 72.9, 71.25, 69.92]	[0.49, 3.75, 2.77, 2.04, 1.57, 1.12, 1.01, 0.99, 0.74, 0.74]	food101_contrast_and_calibration	food101	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	11	10	101	10	checkpoint/food101_contrast_and_calibration	[224, 224]
61.95	72.46	71.37	0.16	[82.35, 76.79, 75.23, 72.93, 68.48, 67.5, 66.16, 64.45, 62.86, 61.95]	[nan, 83.12, 84.25, 83.37, 80.45, 78.33, 78.31, 76.05, 73.85, 72.46]	[82.61, 79.83, 81.02, 80.55, 77.82, 76.34, 76.39, 74.52, 72.57, 71.37]	[0.71, 0.33, 0.16, 0.18, 0.2, 0.18, 0.12, 0.1, 0.11, 0.16]	food101_contrast_and_calibration	food101	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	11	10	101	10	checkpoint/food101_contrast_and_calibration	[224, 224]
39.42	74.0	70.28	0.57	[84.8, 60.04, 56.68, 53.89, 50.04, 49.13, 45.53, 42.91, 40.84, 39.42]	[nan, 88.72, 87.35, 85.53, 82.41, 80.44, 80.26, 77.88, 75.82, 74.0]	[85.06, 73.89, 76.54, 77.09, 75.37, 74.74, 74.83, 73.18, 71.65, 70.28]	[0.41, 1.81, 1.48, 1.18, 0.84, 0.9, 0.89, 0.8, 0.64, 0.57]	food101_contrast_and_calibration	food101	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	11	10	101	10	checkpoint/food101_contrast_and_calibration	[224, 224]
