base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
3.73	4.48	4.4	1.77	[19.42, 7.33, 6.49, 5.83, 5.0, 4.53, 4.29, 4.18, 3.94, 3.73]	[nan, 12.18, 9.77, 7.59, 7.42, 6.49, 6.05, 5.6, 5.29, 4.48]	[19.42, 9.7, 8.64, 7.14, 6.92, 6.15, 5.79, 5.42, 5.13, 4.4]	[2.61, 3.93, 3.16, 2.64, 2.3, 2.04, 1.86, 1.66, 1.62, 1.77]	country211_contrast_and_calibration	country211	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	22	21	211	10	checkpoint/country211_contrast_and_calibration	[224, 224]
0.0	7.89	7.07	0.17	[25.26, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[nan, 24.1, 17.41, 13.98, 12.69, 10.99, 10.08, 9.02, 8.49, 7.89]	[25.26, 11.78, 11.43, 10.37, 10.05, 9.09, 8.58, 7.85, 7.51, 7.07]	[0.25, 0.5, 0.26, 0.18, 0.29, 0.33, 0.26, 0.19, 0.2, 0.17]	country211_contrast_and_calibration	country211	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	22	21	211	10	checkpoint/country211_contrast_and_calibration	[224, 224]
0.29	7.29	6.56	0.1	[24.36, 1.43, 0.83, 0.53, 0.36, 0.32, 0.32, 0.32, 0.32, 0.29]	[nan, 22.68, 16.37, 12.86, 11.79, 10.19, 9.28, 8.28, 7.84, 7.29]	[24.36, 11.8, 11.03, 9.67, 9.42, 8.48, 7.95, 7.25, 6.97, 6.56]	[0.13, 0.82, 0.26, 0.33, 0.05, 0.1, 0.12, 0.08, 0.08, 0.1]	country211_contrast_and_calibration	country211	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	22	21	211	10	checkpoint/country211_contrast_and_calibration	[224, 224]
0.0	4.89	4.38	1.28	[24.0, 0.5, 0.17, 0.06, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0]	[nan, 15.53, 11.01, 8.52, 7.9, 6.58, 6.1, 5.5, 5.12, 4.89]	[24.0, 7.84, 7.28, 6.33, 6.26, 5.44, 5.19, 4.78, 4.52, 4.38]	[0.19, 1.85, 1.95, 2.06, 1.82, 1.59, 1.49, 1.31, 1.28, 1.28]	country211_contrast_and_calibration	country211	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	1.0	-1	1.0	False	False	True	False	22	21	211	10	checkpoint/country211_contrast_and_calibration	[224, 224]
0.0	7.81	6.99	0.33	[26.07, 0.26, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[nan, 23.19, 16.67, 13.42, 12.58, 10.72, 9.8, 8.79, 8.27, 7.81]	[26.07, 11.46, 10.94, 9.94, 9.97, 8.86, 8.35, 7.65, 7.32, 6.99]	[0.27, 0.33, 0.3, 0.35, 0.25, 0.45, 0.32, 0.32, 0.32, 0.33]	country211_contrast_and_calibration	country211	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	22	21	211	10	checkpoint/country211_contrast_and_calibration	[224, 224]
0.35	1.15	1.06	0.69	[5.55, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35]	[nan, 7.0, 3.18, 2.4, 1.92, 1.56, 1.58, 1.41, 1.25, 1.15]	[5.55, 3.6, 2.2, 1.87, 1.59, 1.35, 1.39, 1.28, 1.15, 1.06]	[0.27, 1.4, 0.86, 0.88, 0.83, 0.73, 0.76, 0.75, 0.72, 0.69]	country211_contrast_and_calibration	country211	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	1.0	-1	1.0	False	False	True	False	22	21	211	10	checkpoint/country211_contrast_and_calibration	[224, 224]
0.02	8.01	7.18	0.16	[22.64, 0.2, 0.05, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]	[nan, 23.22, 16.86, 13.31, 12.06, 10.62, 9.86, 8.91, 8.47, 8.01]	[22.64, 11.44, 11.08, 9.87, 9.57, 8.78, 8.4, 7.75, 7.49, 7.18]	[0.39, 0.09, 0.0, 0.3, 0.35, 0.35, 0.31, 0.16, 0.17, 0.16]	country211_contrast_and_calibration	country211	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	22	21	211	10	checkpoint/country211_contrast_and_calibration	[224, 224]
5.17	7.69	7.43	0.02	[24.43, 16.41, 13.46, 10.77, 8.15, 7.05, 6.41, 6.14, 5.71, 5.17]	[nan, 18.81, 15.14, 11.94, 11.33, 10.12, 9.3, 8.38, 8.02, 7.69]	[24.43, 17.58, 14.56, 11.64, 10.67, 9.59, 8.87, 8.09, 7.76, 7.43]	[0.24, 0.08, 0.03, 0.02, 0.02, 0.04, 0.03, 0.02, 0.03, 0.02]	country211_contrast_and_calibration	country211	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	22	21	211	10	checkpoint/country211_contrast_and_calibration	[224, 224]
5.18	7.72	7.46	0.01	[23.84, 15.04, 12.82, 10.21, 7.79, 6.59, 6.15, 5.82, 5.56, 5.18]	[nan, 18.55, 15.18, 12.15, 11.35, 10.17, 9.4, 8.49, 8.07, 7.72]	[23.84, 16.76, 14.37, 11.65, 10.61, 9.55, 8.91, 8.14, 7.78, 7.46]	[0.58, 0.48, 0.32, 0.08, 0.08, 0.03, 0.09, 0.06, 0.01, 0.01]	country211_contrast_and_calibration	country211	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	22	21	211	10	checkpoint/country211_contrast_and_calibration	[224, 224]
6.59	7.5	7.4	0.01	[24.41, 18.56, 15.98, 13.17, 10.33, 9.09, 8.14, 7.73, 7.23, 6.59]	[nan, 16.95, 14.08, 11.21, 10.83, 9.7, 8.93, 8.14, 7.81, 7.5]	[24.41, 17.77, 14.74, 11.72, 10.73, 9.59, 8.81, 8.08, 7.74, 7.4]	[0.13, 0.07, 0.06, 0.02, 0.04, 0.03, 0.01, 0.01, 0.01, 0.01]	country211_contrast_and_calibration	country211	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	22	21	211	10	checkpoint/country211_contrast_and_calibration	[224, 224]
