base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
0.0	53.86	48.15	2.87	[100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[nan, 100.0, 85.68, 78.94, 76.89, 69.71, 61.53, 56.86, 51.74, 53.86]	[100.0, 50.62, 58.18, 59.23, 61.11, 57.22, 52.0, 49.29, 45.56, 48.15]	[0.0, 0.0, 2.97, 5.85, 5.41, 4.64, 2.66, 2.29, 2.37, 2.87]	eurosat_contrast_and_calibration	eurosat	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_contrast_and_calibration	[224, 224]
53.93	63.13	62.15	0.06	[100.0, 95.81, 82.2, 71.2, 66.09, 59.22, 53.93, 53.93, 53.93, 53.93]	[nan, 100.0, 88.99, 88.92, 77.84, 74.73, 67.26, 66.01, 61.5, 63.13]	[100.0, 97.82, 86.82, 84.46, 75.44, 71.96, 65.19, 64.4, 60.6, 62.15]	[0.0, 0.24, 0.2, 0.22, 0.13, 0.04, 0.03, 0.02, 0.08, 0.06]	eurosat_contrast_and_calibration	eurosat	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_contrast_and_calibration	[224, 224]
56.08	62.85	62.13	0.05	[100.0, 96.34, 83.07, 72.83, 67.65, 60.91, 56.08, 56.08, 56.08, 56.08]	[nan, 99.83, 88.8, 88.78, 77.51, 74.49, 67.04, 65.71, 61.2, 62.85]	[100.0, 97.99, 86.97, 84.76, 75.5, 72.07, 65.34, 64.42, 60.58, 62.13]	[0.0, 0.0, 0.16, 0.15, 0.05, 0.11, 0.11, 0.09, 0.06, 0.05]	eurosat_contrast_and_calibration	eurosat	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_contrast_and_calibration	[224, 224]
56.54	62.87	62.2	0.1	[100.0, 96.34, 83.37, 73.18, 68.18, 61.6, 56.54, 56.54, 56.54, 56.54]	[nan, 99.89, 88.88, 88.84, 77.48, 74.65, 67.06, 65.75, 61.22, 62.87]	[100.0, 98.02, 87.11, 84.9, 75.59, 72.33, 65.43, 64.52, 60.66, 62.2]	[0.0, 0.04, 0.07, 0.11, 0.16, 0.26, 0.16, 0.15, 0.13, 0.1]	eurosat_contrast_and_calibration	eurosat	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_contrast_and_calibration	[224, 224]
51.08	63.32	62.02	0.55	[100.0, 93.77, 80.57, 68.24, 63.99, 56.72, 51.25, 51.08, 51.08, 51.08]	[nan, 99.94, 89.13, 89.08, 77.98, 75.1, 67.38, 66.4, 61.59, 63.32]	[100.0, 96.82, 86.44, 83.86, 75.14, 71.84, 64.87, 64.35, 60.33, 62.02]	[0.0, 0.3, 0.51, 0.49, 0.29, 1.17, 0.79, 0.7, 0.71, 0.55]	eurosat_contrast_and_calibration	eurosat	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_contrast_and_calibration	[224, 224]
54.39	62.98	62.07	0.04	[100.0, 96.22, 82.61, 71.78, 66.61, 59.51, 54.39, 54.39, 54.39, 54.39]	[nan, 100.0, 89.02, 88.94, 77.72, 74.63, 67.15, 65.89, 61.34, 62.98]	[100.0, 98.02, 86.97, 84.62, 75.46, 71.94, 65.17, 64.36, 60.51, 62.07]	[0.0, 0.04, 0.04, 0.02, 0.03, 0.04, 0.03, 0.04, 0.03, 0.04]	eurosat_contrast_and_calibration	eurosat	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_contrast_and_calibration	[224, 224]
39.44	62.94	60.45	1.16	[100.0, 85.57, 71.09, 53.87, 50.85, 44.15, 39.56, 39.44, 39.44, 39.44]	[nan, 100.0, 89.16, 88.74, 78.58, 74.66, 67.07, 66.6, 61.11, 62.94]	[100.0, 92.78, 83.34, 80.0, 72.9, 69.22, 62.82, 62.98, 58.53, 60.45]	[0.0, 3.24, 4.29, 2.36, 1.39, 1.54, 1.88, 1.67, 1.21, 1.16]	eurosat_contrast_and_calibration	eurosat	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_contrast_and_calibration	[224, 224]
39.09	64.24	61.57	0.27	[100.0, 88.48, 69.46, 54.51, 52.24, 44.79, 39.21, 39.09, 39.09, 39.09]	[nan, 100.0, 89.13, 89.27, 78.74, 75.74, 68.37, 67.61, 62.66, 64.24]	[100.0, 94.32, 82.81, 80.53, 73.29, 70.2, 63.84, 63.81, 59.85, 61.57]	[0.0, 0.67, 1.13, 0.88, 0.62, 0.6, 0.48, 0.3, 0.3, 0.27]	eurosat_contrast_and_calibration	eurosat	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_contrast_and_calibration	[224, 224]
55.73	63.1	62.31	0.08	[100.0, 96.34, 83.07, 72.54, 67.31, 60.56, 55.73, 55.73, 55.73, 55.73]	[nan, 99.83, 88.77, 88.75, 77.61, 74.76, 67.26, 65.96, 61.48, 63.1]	[100.0, 97.99, 86.95, 84.67, 75.51, 72.23, 65.47, 64.6, 60.79, 62.31]	[0.0, 0.0, 0.07, 0.08, 0.12, 0.07, 0.11, 0.08, 0.09, 0.08]	eurosat_contrast_and_calibration	eurosat	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_contrast_and_calibration	[224, 224]
56.25	62.87	62.17	0.02	[100.0, 96.34, 83.13, 73.12, 67.77, 60.97, 56.25, 56.25, 56.25, 56.25]	[nan, 99.83, 88.77, 88.76, 77.48, 74.53, 67.09, 65.72, 61.21, 62.87]	[100.0, 97.99, 86.97, 84.82, 75.5, 72.12, 65.41, 64.46, 60.62, 62.17]	[0.0, 0.0, 0.09, 0.06, 0.03, 0.05, 0.05, 0.02, 0.03, 0.02]	eurosat_contrast_and_calibration	eurosat	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_contrast_and_calibration	[224, 224]
