base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
14.95	19.43	18.95	0.05	[48.2, 29.89, 26.41, 24.2, 22.89, 21.05, 17.32, 16.09, 14.95]	[nan, 28.58, 27.2, 25.9, 24.1, 22.23, 20.76, 20.64, 19.43]	[49.32, 29.59, 26.92, 25.59, 23.96, 21.98, 20.27, 20.07, 18.95]	[0.28, 0.43, 0.12, 0.05, 0.09, 0.04, 0.02, 0.02, 0.05]	stanford_cars_cap_contrast_only	stanford_cars	./data	cap_contrast_only	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	20	20	196	9	checkpoint/stanford_cars_cap_contrast_only	[224, 224]
8.68	20.24	18.97	0.17	[52.42, 23.87, 17.77, 15.77, 14.21, 12.28, 10.03, 9.09, 8.68]	[nan, 32.21, 29.59, 26.9, 25.42, 23.08, 21.62, 21.39, 20.24]	[53.59, 28.35, 25.69, 24.17, 23.27, 21.24, 19.96, 19.81, 18.97]	[0.91, 0.25, 0.45, 0.36, 0.08, 0.04, 0.13, 0.12, 0.17]	stanford_cars_cap_contrast_only	stanford_cars	./data	cap_contrast_only	64	20	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	20	20	196	9	checkpoint/stanford_cars_cap_contrast_only	[224, 224]
15.36	19.36	18.93	0.02	[47.26, 29.52, 26.5, 24.37, 23.3, 21.17, 18.02, 16.42, 15.36]	[nan, 28.82, 27.23, 25.62, 23.95, 22.07, 20.62, 20.53, 19.36]	[48.2, 29.61, 27.09, 25.43, 23.93, 21.87, 20.25, 20.01, 18.93]	[0.21, 0.15, 0.16, 0.04, 0.04, 0.03, 0.03, 0.02, 0.02]	stanford_cars_cap_contrast_only	stanford_cars	./data	cap_contrast_only	64	20	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	20	20	196	9	checkpoint/stanford_cars_cap_contrast_only	[224, 224]
15.11	19.46	18.99	0.06	[49.26, 29.93, 26.37, 24.08, 22.64, 20.85, 17.81, 16.58, 15.11]	[nan, 28.0, 26.92, 25.54, 23.91, 22.21, 20.79, 20.69, 19.46]	[50.47, 29.26, 26.68, 25.3, 23.76, 21.94, 20.36, 20.17, 18.99]	[0.16, 0.36, 0.21, 0.11, 0.07, 0.02, 0.03, 0.04, 0.06]	stanford_cars_cap_contrast_only	stanford_cars	./data	cap_contrast_only	64	20	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	20	20	196	9	checkpoint/stanford_cars_cap_contrast_only	[224, 224]
12.61	19.58	18.83	0.11	[50.45, 27.48, 23.14, 20.96, 19.69, 17.81, 14.7, 13.59, 12.61]	[nan, 29.94, 28.24, 26.31, 24.69, 22.54, 21.0, 20.83, 19.58]	[51.63, 29.08, 26.52, 25.1, 23.8, 21.73, 20.11, 19.93, 18.83]	[0.74, 0.07, 0.18, 0.22, 0.16, 0.13, 0.11, 0.14, 0.11]	stanford_cars_cap_contrast_only	stanford_cars	./data	cap_contrast_only	64	10	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	20	20	196	9	checkpoint/stanford_cars_cap_contrast_only	[224, 224]
15.76	19.35	18.97	0.01	[46.85, 29.52, 26.41, 24.28, 23.22, 21.09, 18.1, 16.5, 15.76]	[nan, 28.66, 27.08, 25.43, 23.82, 22.0, 20.61, 20.51, 19.35]	[47.83, 29.61, 27.05, 25.27, 23.81, 21.8, 20.25, 20.0, 18.97]	[0.14, 0.07, 0.09, 0.06, 0.03, 0.02, 0.02, 0.01, 0.01]	stanford_cars_cap_contrast_only	stanford_cars	./data	cap_contrast_only	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	20	20	196	9	checkpoint/stanford_cars_cap_contrast_only	[224, 224]
15.36	19.35	18.92	0.01	[47.34, 29.45, 26.21, 24.08, 23.14, 20.97, 17.86, 16.34, 15.36]	[nan, 28.78, 27.08, 25.51, 23.86, 22.03, 20.62, 20.52, 19.35]	[48.27, 29.55, 26.82, 25.24, 23.81, 21.81, 20.22, 19.99, 18.92]	[0.37, 0.19, 0.17, 0.07, 0.04, 0.03, 0.01, 0.02, 0.01]	stanford_cars_cap_contrast_only	stanford_cars	./data	cap_contrast_only	64	20	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	20	20	196	9	checkpoint/stanford_cars_cap_contrast_only	[224, 224]
15.72	19.35	18.97	0.02	[46.56, 29.48, 26.7, 24.53, 23.46, 21.09, 17.97, 16.46, 15.72]	[nan, 28.62, 27.12, 25.48, 23.83, 22.03, 20.63, 20.52, 19.35]	[47.57, 29.49, 27.13, 25.37, 23.87, 21.82, 20.25, 20.01, 18.97]	[0.27, 0.15, 0.06, 0.04, 0.04, 0.04, 0.03, 0.04, 0.02]	stanford_cars_cap_contrast_only	stanford_cars	./data	cap_contrast_only	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	20	20	196	9	checkpoint/stanford_cars_cap_contrast_only	[224, 224]
7.78	20.62	19.21	0.12	[52.38, 24.12, 17.61, 15.32, 13.64, 12.08, 9.05, 8.07, 7.78]	[nan, 34.49, 31.0, 27.82, 26.14, 23.48, 21.99, 21.69, 20.62]	[53.06, 29.55, 26.58, 24.74, 23.72, 21.52, 20.12, 19.95, 19.21]	[0.52, 0.82, 0.25, 0.16, 0.2, 0.12, 0.09, 0.05, 0.12]	stanford_cars_cap_contrast_only	stanford_cars	./data	cap_contrast_only	64	20	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	20	20	196	9	checkpoint/stanford_cars_cap_contrast_only	[224, 224]
15.32	19.39	18.95	0.05	[47.38, 29.28, 25.96, 23.83, 22.89, 21.17, 17.77, 16.46, 15.32]	[nan, 28.41, 27.02, 25.64, 23.93, 22.1, 20.66, 20.58, 19.39]	[48.54, 29.22, 26.7, 25.32, 23.83, 21.9, 20.25, 20.06, 18.95]	[0.14, 0.37, 0.42, 0.2, 0.18, 0.09, 0.07, 0.05, 0.05]	stanford_cars_cap_contrast_only	stanford_cars	./data	cap_contrast_only	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	20	20	196	9	checkpoint/stanford_cars_cap_contrast_only	[224, 224]
