base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
72.33	87.12	83.49	0.0	[82.35, 80.48, 78.21, 78.07, 74.67, 73.93, 73.8, 73.73, 72.53, 72.33]	[nan, 98.31, 91.3, 74.37, 77.56, 81.41, 86.1, 86.25, 86.79, 87.12]	[82.36, 84.6, 82.67, 76.38, 76.43, 78.77, 82.79, 82.82, 83.01, 83.49]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	caltech101_cap_contrast_only	caltech101	./data	cap_contrast_only	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/caltech101_cap_contrast_only	[224, 224]
72.35	87.12	83.49	0.0	[82.57, 80.63, 78.34, 78.21, 74.8, 74.0, 73.88, 73.82, 72.55, 72.35]	[nan, 98.31, 91.3, 74.37, 77.56, 81.41, 86.1, 86.25, 86.79, 87.12]	[82.58, 84.72, 82.76, 76.44, 76.49, 78.8, 82.82, 82.85, 83.01, 83.49]	[0.03, 0.02, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.0, 0.0]	caltech101_cap_contrast_only	caltech101	./data	cap_contrast_only	64	20	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/caltech101_cap_contrast_only	[224, 224]
74.18	87.11	83.94	0.15	[88.48, 84.62, 81.91, 81.1, 76.7, 76.04, 75.8, 75.65, 74.38, 74.18]	[nan, 98.23, 91.26, 74.37, 77.56, 81.42, 86.11, 86.24, 86.78, 87.11]	[88.49, 87.68, 85.07, 77.71, 77.25, 79.55, 83.37, 83.33, 83.49, 83.94]	[1.44, 0.79, 0.65, 0.43, 0.34, 0.29, 0.22, 0.2, 0.21, 0.15]	caltech101_cap_contrast_only	caltech101	./data	cap_contrast_only	64	20	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/caltech101_cap_contrast_only	[224, 224]
72.33	87.12	83.49	0.0	[82.35, 80.48, 78.19, 78.05, 74.67, 73.93, 73.8, 73.73, 72.53, 72.33]	[nan, 98.31, 91.3, 74.37, 77.56, 81.41, 86.1, 86.25, 86.79, 87.12]	[82.36, 84.6, 82.66, 76.37, 76.43, 78.77, 82.79, 82.82, 83.01, 83.49]	[0.0, 0.0, 0.02, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	caltech101_cap_contrast_only	caltech101	./data	cap_contrast_only	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/caltech101_cap_contrast_only	[224, 224]
72.33	87.12	83.49	0.0	[82.55, 80.61, 78.34, 78.21, 74.8, 74.0, 73.86, 73.8, 72.53, 72.33]	[nan, 98.31, 91.3, 74.37, 77.56, 81.41, 86.1, 86.25, 86.79, 87.12]	[82.56, 84.7, 82.76, 76.44, 76.49, 78.8, 82.81, 82.84, 83.01, 83.49]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	caltech101_cap_contrast_only	caltech101	./data	cap_contrast_only	64	20	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/caltech101_cap_contrast_only	[224, 224]
72.75	87.12	83.59	0.0	[83.34, 80.97, 78.54, 78.34, 74.96, 74.22, 74.15, 74.09, 73.01, 72.75]	[nan, 98.31, 91.3, 74.37, 77.56, 81.41, 86.1, 86.24, 86.79, 87.12]	[83.34, 84.97, 82.89, 76.5, 76.55, 78.88, 82.89, 82.91, 83.14, 83.59]	[0.17, 0.02, 0.0, 0.0, 0.03, 0.03, 0.02, 0.02, 0.01, 0.0]	caltech101_cap_contrast_only	caltech101	./data	cap_contrast_only	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/caltech101_cap_contrast_only	[224, 224]
72.73	87.12	83.59	0.0	[83.42, 81.02, 78.54, 78.34, 74.95, 74.22, 74.15, 74.08, 72.99, 72.73]	[nan, 98.31, 91.3, 74.37, 77.56, 81.41, 86.1, 86.25, 86.79, 87.12]	[83.43, 85.0, 82.89, 76.5, 76.55, 78.88, 82.89, 82.92, 83.13, 83.59]	[0.05, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.01, 0.0, 0.0]	caltech101_cap_contrast_only	caltech101	./data	cap_contrast_only	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/caltech101_cap_contrast_only	[224, 224]
74.18	87.13	83.96	0.01	[88.84, 84.85, 82.15, 81.39, 76.78, 76.05, 75.76, 75.6, 74.42, 74.18]	[nan, 98.31, 91.35, 74.41, 77.59, 81.44, 86.13, 86.25, 86.8, 87.13]	[88.84, 87.87, 85.25, 77.86, 77.31, 79.56, 83.37, 83.34, 83.52, 83.96]	[0.47, 0.42, 0.33, 0.24, 0.16, 0.1, 0.05, 0.04, 0.05, 0.01]	caltech101_cap_contrast_only	caltech101	./data	cap_contrast_only	64	10	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/caltech101_cap_contrast_only	[224, 224]
72.84	87.12	83.61	0.01	[84.6, 81.77, 79.12, 78.85, 75.42, 74.69, 74.62, 74.42, 73.11, 72.84]	[nan, 98.31, 91.3, 74.37, 77.56, 81.41, 86.1, 86.23, 86.79, 87.12]	[84.61, 85.57, 83.27, 76.72, 76.74, 79.04, 83.03, 82.99, 83.16, 83.61]	[0.11, 0.02, 0.04, 0.03, 0.03, 0.02, 0.02, 0.01, 0.0, 0.01]	caltech101_cap_contrast_only	caltech101	./data	cap_contrast_only	64	20	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/caltech101_cap_contrast_only	[224, 224]
73.88	87.11	83.87	0.01	[87.7, 83.85, 81.19, 80.48, 76.2, 75.53, 75.35, 75.22, 74.0, 73.88]	[nan, 98.31, 91.3, 74.35, 77.54, 81.41, 86.1, 86.23, 86.78, 87.11]	[87.7, 87.12, 84.62, 77.43, 77.04, 79.36, 83.24, 83.22, 83.39, 83.87]	[0.9, 0.48, 0.35, 0.2, 0.06, 0.04, 0.02, 0.02, 0.03, 0.01]	caltech101_cap_contrast_only	caltech101	./data	cap_contrast_only	64	10	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/caltech101_cap_contrast_only	[224, 224]
