base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
6.12	7.58	7.43	0.04	[24.74, 17.94, 15.31, 12.35, 9.39, 8.26, 7.6, 7.2, 6.77, 6.12]	[nan, 17.81, 14.58, 11.55, 11.07, 9.89, 9.09, 8.26, 7.93, 7.58]	[24.74, 17.87, 14.83, 11.75, 10.72, 9.61, 8.87, 8.12, 7.8, 7.43]	[0.31, 0.2, 0.1, 0.07, 0.04, 0.07, 0.06, 0.06, 0.05, 0.04]	country211_cap_contrast_only	country211	./data	cap_contrast_only	64	20	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	22	21	211	10	checkpoint/country211_cap_contrast_only	[224, 224]
6.68	7.52	7.44	0.02	[24.33, 18.56, 16.05, 13.2, 10.29, 9.03, 8.12, 7.71, 7.33, 6.68]	[nan, 17.02, 14.16, 11.25, 10.88, 9.73, 8.97, 8.17, 7.84, 7.52]	[24.33, 17.8, 14.81, 11.76, 10.76, 9.61, 8.84, 8.1, 7.78, 7.44]	[0.22, 0.07, 0.02, 0.04, 0.04, 0.02, 0.03, 0.03, 0.03, 0.02]	country211_cap_contrast_only	country211	./data	cap_contrast_only	64	20	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	22	21	211	10	checkpoint/country211_cap_contrast_only	[224, 224]
7.44	7.4	7.4	0.01	[22.83, 17.8, 15.56, 13.21, 11.05, 9.92, 9.15, 8.74, 8.12, 7.44]	[nan, 16.11, 13.36, 10.84, 10.66, 9.48, 8.74, 7.97, 7.69, 7.4]	[22.83, 16.98, 14.12, 11.45, 10.74, 9.55, 8.81, 8.08, 7.74, 7.4]	[0.08, 0.02, 0.02, 0.0, 0.01, 0.01, 0.0, 0.0, 0.0, 0.01]	country211_cap_contrast_only	country211	./data	cap_contrast_only	64	20	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	22	21	211	10	checkpoint/country211_cap_contrast_only	[224, 224]
6.5	7.51	7.4	0.03	[24.36, 18.59, 16.33, 13.49, 10.26, 9.02, 8.19, 7.71, 7.24, 6.5]	[nan, 16.98, 14.1, 11.24, 10.85, 9.73, 8.97, 8.16, 7.84, 7.51]	[24.36, 17.8, 14.87, 11.82, 10.73, 9.61, 8.85, 8.1, 7.77, 7.4]	[0.37, 0.15, 0.03, 0.03, 0.01, 0.02, 0.01, 0.02, 0.02, 0.03]	country211_cap_contrast_only	country211	./data	cap_contrast_only	64	10	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	22	21	211	10	checkpoint/country211_cap_contrast_only	[224, 224]
7.08	7.5	7.46	0.01	[24.26, 18.39, 16.09, 13.41, 10.64, 9.41, 8.5, 8.09, 7.68, 7.08]	[nan, 16.68, 13.98, 11.21, 10.84, 9.64, 8.91, 8.12, 7.81, 7.5]	[24.26, 17.56, 14.71, 11.78, 10.79, 9.6, 8.85, 8.11, 7.79, 7.46]	[0.14, 0.07, 0.05, 0.05, 0.04, 0.04, 0.02, 0.02, 0.02, 0.01]	country211_cap_contrast_only	country211	./data	cap_contrast_only	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	22	21	211	10	checkpoint/country211_cap_contrast_only	[224, 224]
7.42	7.4	7.4	0.01	[22.83, 17.82, 15.65, 13.3, 11.14, 9.92, 9.15, 8.74, 8.11, 7.42]	[nan, 16.18, 13.39, 10.83, 10.65, 9.47, 8.74, 7.97, 7.68, 7.4]	[22.83, 17.02, 14.17, 11.47, 10.75, 9.55, 8.8, 8.07, 7.73, 7.4]	[0.02, 0.02, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01]	country211_cap_contrast_only	country211	./data	cap_contrast_only	64	20	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	22	21	211	10	checkpoint/country211_cap_contrast_only	[224, 224]
5.97	7.56	7.39	0.0	[24.41, 18.03, 15.42, 12.63, 9.59, 8.38, 7.62, 7.18, 6.65, 5.97]	[nan, 17.45, 14.42, 11.39, 10.94, 9.81, 9.05, 8.22, 7.89, 7.56]	[24.41, 17.74, 14.77, 11.71, 10.66, 9.56, 8.84, 8.09, 7.75, 7.39]	[0.19, 0.1, 0.08, 0.02, 0.03, 0.01, 0.01, 0.0, 0.0, 0.0]	country211_cap_contrast_only	country211	./data	cap_contrast_only	64	10	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	22	21	211	10	checkpoint/country211_cap_contrast_only	[224, 224]
5.88	7.59	7.41	0.01	[24.59, 17.82, 15.03, 12.02, 9.18, 7.99, 7.23, 6.86, 6.45, 5.88]	[nan, 17.76, 14.57, 11.62, 11.08, 9.89, 9.1, 8.27, 7.93, 7.59]	[24.59, 17.79, 14.73, 11.72, 10.68, 9.56, 8.82, 8.08, 7.76, 7.41]	[0.37, 0.12, 0.22, 0.06, 0.06, 0.02, 0.0, 0.0, 0.01, 0.01]	country211_cap_contrast_only	country211	./data	cap_contrast_only	64	20	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	22	21	211	10	checkpoint/country211_cap_contrast_only	[224, 224]
7.56	7.37	7.39	0.0	[22.73, 18.02, 15.55, 13.44, 11.21, 10.08, 9.29, 8.91, 8.24, 7.56]	[nan, 16.0, 13.21, 10.73, 10.59, 9.41, 8.68, 7.92, 7.65, 7.37]	[22.73, 17.03, 14.02, 11.43, 10.72, 9.53, 8.77, 8.05, 7.72, 7.39]	[0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0]	country211_cap_contrast_only	country211	./data	cap_contrast_only	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	22	21	211	10	checkpoint/country211_cap_contrast_only	[224, 224]
7.56	7.37	7.39	0.0	[22.77, 18.08, 15.53, 13.45, 11.21, 10.09, 9.32, 8.91, 8.24, 7.56]	[nan, 16.0, 13.22, 10.74, 10.58, 9.41, 8.68, 7.92, 7.65, 7.37]	[22.77, 17.06, 14.02, 11.44, 10.72, 9.53, 8.78, 8.05, 7.72, 7.39]	[0.0, 0.01, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	country211_cap_contrast_only	country211	./data	cap_contrast_only	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	22	21	211	10	checkpoint/country211_cap_contrast_only	[224, 224]
