base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
4.13	25.43	23.09	0.3	[60.94, 23.38, 16.67, 14.09, 12.49, 10.11, 5.94, 4.42, 4.13]	[nan, 42.93, 38.78, 33.99, 31.51, 28.39, 26.69, 26.95, 25.43]	[61.26, 33.59, 31.75, 29.09, 27.8, 25.41, 23.79, 24.15, 23.09]	[0.89, 0.87, 0.56, 0.04, 0.45, 0.54, 0.31, 0.36, 0.3]	stanford_cars_contrast_and_calibration	stanford_cars	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	20	20	196	9	checkpoint/stanford_cars_contrast_and_calibration	[224, 224]
15.27	9.33	10.0	0.46	[17.77, 16.83, 16.63, 16.63, 16.63, 16.58, 15.27, 15.27, 15.27]	[nan, 3.06, 7.87, 10.65, 10.88, 10.37, 9.8, 10.31, 9.33]	[17.9, 10.37, 10.95, 12.24, 12.12, 11.41, 10.55, 10.95, 10.0]	[1.33, 0.27, 0.45, 0.34, 0.34, 0.41, 0.45, 0.52, 0.46]	stanford_cars_contrast_and_calibration	stanford_cars	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	20	20	196	9	checkpoint/stanford_cars_contrast_and_calibration	[224, 224]
0.49	15.41	13.76	5.81	[35.63, 3.73, 2.74, 2.62, 2.5, 2.42, 0.49, 0.49, 0.49]	[nan, 27.46, 24.29, 21.18, 20.31, 17.78, 16.52, 16.75, 15.41]	[37.38, 15.98, 17.29, 16.63, 16.8, 15.26, 14.25, 14.7, 13.76]	[18.32, 7.12, 8.21, 7.54, 7.47, 6.55, 5.84, 5.79, 5.81]	stanford_cars_contrast_and_calibration	stanford_cars	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	20	20	196	9	checkpoint/stanford_cars_contrast_and_calibration	[224, 224]
0.78	0.53	0.55	0.17	[6.27, 0.78, 0.78, 0.78, 0.78, 0.78, 0.78, 0.78, 0.78]	[nan, 4.55, 2.24, 1.73, 1.2, 0.92, 0.79, 0.67, 0.53]	[7.28, 2.61, 1.74, 1.48, 1.11, 0.89, 0.78, 0.68, 0.55]	[0.33, 0.36, 0.29, 0.32, 0.3, 0.21, 0.17, 0.15, 0.17]	stanford_cars_contrast_and_calibration	stanford_cars	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	20	20	196	9	checkpoint/stanford_cars_contrast_and_calibration	[224, 224]
2.09	25.77	23.16	0.56	[60.93, 15.89, 11.63, 10.07, 8.48, 8.27, 3.28, 2.29, 2.09]	[nan, 44.08, 40.35, 35.22, 32.63, 29.22, 27.03, 27.29, 25.77]	[61.98, 30.39, 30.79, 28.95, 27.88, 25.75, 23.64, 24.1, 23.16]	[0.71, 0.61, 0.78, 0.72, 0.58, 0.37, 0.35, 0.52, 0.56]	stanford_cars_contrast_and_calibration	stanford_cars	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	20	20	196	9	checkpoint/stanford_cars_contrast_and_calibration	[224, 224]
0.08	0.56	0.51	0.06	[6.06, 0.16, 0.16, 0.16, 0.16, 0.12, 0.12, 0.12, 0.08]	[nan, 5.09, 2.55, 1.68, 1.24, 0.97, 0.83, 0.72, 0.56]	[7.5, 2.57, 1.74, 1.27, 1.02, 0.83, 0.74, 0.65, 0.51]	[0.4, 0.31, 0.2, 0.04, 0.04, 0.01, 0.02, 0.02, 0.06]	stanford_cars_contrast_and_calibration	stanford_cars	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	1.0	-1	1.0	False	False	True	False	20	20	196	9	checkpoint/stanford_cars_contrast_and_calibration	[224, 224]
30.96	9.66	12.03	0.48	[32.15, 31.12, 31.12, 31.12, 31.12, 31.12, 31.0, 30.96, 30.96]	[nan, 7.36, 9.46, 11.67, 12.01, 10.98, 10.19, 10.54, 9.66]	[33.63, 19.88, 17.03, 16.74, 15.96, 14.35, 13.15, 13.14, 12.03]	[2.37, 1.31, 0.91, 0.74, 0.72, 0.57, 0.54, 0.52, 0.48]	stanford_cars_contrast_and_calibration	stanford_cars	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	20	20	196	9	checkpoint/stanford_cars_contrast_and_calibration	[224, 224]
11.96	21.2	20.18	0.65	[51.72, 28.01, 24.0, 21.5, 19.24, 16.54, 13.72, 12.57, 11.96]	[nan, 31.22, 29.34, 27.32, 25.93, 23.62, 22.18, 22.26, 21.2]	[53.23, 29.71, 27.59, 25.96, 24.68, 22.37, 20.92, 20.99, 20.18]	[0.9, 1.33, 1.02, 0.57, 0.63, 0.77, 0.69, 0.69, 0.65]	stanford_cars_contrast_and_calibration	stanford_cars	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	20	20	196	9	checkpoint/stanford_cars_contrast_and_calibration	[224, 224]
26.0	13.5	14.9	1.24	[31.61, 28.95, 28.75, 28.22, 27.72, 27.48, 26.21, 26.04, 26.0]	[nan, 14.6, 14.86, 15.9, 15.98, 15.06, 14.41, 14.45, 13.5]	[34.05, 22.75, 19.99, 19.26, 18.47, 17.21, 16.14, 15.98, 14.9]	[2.77, 2.01, 1.66, 1.28, 1.28, 1.31, 1.16, 1.22, 1.24]	stanford_cars_contrast_and_calibration	stanford_cars	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	20	20	196	9	checkpoint/stanford_cars_contrast_and_calibration	[224, 224]
24.28	8.93	10.62	0.84	[26.66, 25.23, 25.1, 25.06, 24.81, 24.4, 24.4, 24.28, 24.28]	[nan, 6.12, 8.96, 10.76, 11.43, 10.34, 9.35, 9.71, 8.93]	[27.3, 15.92, 14.5, 14.48, 14.19, 12.7, 11.49, 11.54, 10.62]	[3.01, 2.19, 1.99, 1.47, 1.27, 0.95, 0.91, 0.92, 0.84]	stanford_cars_contrast_and_calibration	stanford_cars	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	20	20	196	9	checkpoint/stanford_cars_contrast_and_calibration	[224, 224]
