base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
35.03	51.05	49.25	0.06	[85.57, 80.9, 72.61, 53.61, 49.69, 46.2, 38.66, 37.11, 35.03]	[nan, 86.66, 73.33, 68.07, 60.43, 55.85, 53.09, 53.05, 51.05]	[87.25, 84.8, 73.09, 64.35, 58.25, 54.3, 51.07, 51.04, 49.25]	[0.1, 0.11, 0.27, 0.35, 0.19, 0.13, 0.06, 0.09, 0.06]	resisc45_cap_contrast_only	resisc45	./data	cap_contrast_only	64	20	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	5	5	45	9	checkpoint/resisc45_cap_contrast_only	[224, 224]
36.68	51.06	49.44	0.09	[83.55, 79.73, 72.42, 56.2, 51.53, 48.37, 40.93, 38.85, 36.68]	[nan, 85.42, 72.66, 67.72, 60.26, 55.7, 53.01, 53.02, 51.06]	[85.46, 83.67, 72.58, 64.82, 58.5, 54.58, 51.37, 51.25, 49.44]	[0.21, 0.24, 0.18, 0.11, 0.17, 0.21, 0.14, 0.11, 0.09]	resisc45_cap_contrast_only	resisc45	./data	cap_contrast_only	64	10	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	5	5	45	9	checkpoint/resisc45_cap_contrast_only	[224, 224]
42.86	50.69	49.81	0.02	[78.22, 76.66, 72.89, 59.12, 55.4, 52.99, 48.94, 47.24, 42.86]	[nan, 74.94, 69.42, 65.71, 59.35, 54.74, 52.15, 52.39, 50.69]	[79.09, 77.36, 70.59, 64.04, 58.55, 54.54, 51.74, 51.74, 49.81]	[0.0, 0.06, 0.04, 0.01, 0.02, 0.03, 0.02, 0.02, 0.02]	resisc45_cap_contrast_only	resisc45	./data	cap_contrast_only	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	5	5	45	9	checkpoint/resisc45_cap_contrast_only	[224, 224]
38.66	51.03	49.65	0.03	[81.24, 78.97, 72.89, 59.74, 55.64, 52.24, 44.51, 41.87, 38.66]	[nan, 81.45, 71.51, 67.14, 60.15, 55.45, 52.85, 52.94, 51.03]	[83.41, 81.47, 71.98, 65.32, 59.25, 55.03, 51.72, 51.55, 49.65]	[0.06, 0.09, 0.06, 0.03, 0.01, 0.01, 0.04, 0.05, 0.03]	resisc45_cap_contrast_only	resisc45	./data	cap_contrast_only	64	20	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	5	5	45	9	checkpoint/resisc45_cap_contrast_only	[224, 224]
41.68	50.84	49.81	0.04	[79.21, 77.42, 73.46, 58.89, 55.07, 52.57, 47.57, 45.73, 41.68]	[nan, 77.62, 70.43, 66.37, 59.76, 55.09, 52.42, 52.62, 50.84]	[79.96, 78.95, 71.45, 64.46, 58.81, 54.76, 51.76, 51.76, 49.81]	[0.1, 0.17, 0.14, 0.07, 0.02, 0.03, 0.05, 0.04, 0.04]	resisc45_cap_contrast_only	resisc45	./data	cap_contrast_only	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	5	5	45	9	checkpoint/resisc45_cap_contrast_only	[224, 224]
35.55	51.08	49.34	0.11	[85.76, 80.95, 72.28, 53.94, 50.21, 46.53, 39.27, 37.62, 35.55]	[nan, 86.46, 73.05, 67.9, 60.36, 55.8, 53.1, 53.06, 51.08]	[87.41, 84.73, 72.79, 64.32, 58.29, 54.32, 51.17, 51.12, 49.34]	[0.65, 0.05, 0.35, 0.37, 0.28, 0.22, 0.16, 0.11, 0.11]	resisc45_cap_contrast_only	resisc45	./data	cap_contrast_only	64	20	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	5	5	45	9	checkpoint/resisc45_cap_contrast_only	[224, 224]
42.86	50.69	49.81	0.02	[78.22, 76.66, 72.79, 59.07, 55.4, 53.04, 48.94, 47.24, 42.86]	[nan, 74.61, 69.28, 65.66, 59.3, 54.72, 52.15, 52.38, 50.69]	[79.09, 77.2, 70.46, 63.99, 58.51, 54.53, 51.73, 51.73, 49.81]	[0.0, 0.06, 0.05, 0.04, 0.04, 0.04, 0.03, 0.02, 0.02]	resisc45_cap_contrast_only	resisc45	./data	cap_contrast_only	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	5	5	45	9	checkpoint/resisc45_cap_contrast_only	[224, 224]
42.67	50.71	49.81	0.02	[78.36, 76.71, 72.84, 58.75, 55.25, 52.9, 48.28, 46.82, 42.67]	[nan, 75.61, 69.64, 65.84, 59.43, 54.78, 52.2, 52.43, 50.71]	[79.21, 77.69, 70.72, 64.04, 58.59, 54.56, 51.68, 51.72, 49.81]	[0.0, 0.03, 0.04, 0.01, 0.03, 0.01, 0.02, 0.01, 0.02]	resisc45_cap_contrast_only	resisc45	./data	cap_contrast_only	64	20	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	5	5	45	9	checkpoint/resisc45_cap_contrast_only	[224, 224]
36.12	51.03	49.36	0.06	[83.59, 79.92, 72.75, 56.2, 51.67, 48.46, 40.88, 38.52, 36.12]	[nan, 84.5, 72.54, 67.67, 60.21, 55.64, 52.96, 52.98, 51.03]	[85.5, 83.33, 72.61, 64.78, 58.49, 54.55, 51.32, 51.17, 49.36]	[0.31, 0.15, 0.37, 0.15, 0.07, 0.03, 0.07, 0.07, 0.06]	resisc45_cap_contrast_only	resisc45	./data	cap_contrast_only	64	10	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	5	5	45	9	checkpoint/resisc45_cap_contrast_only	[224, 224]
38.94	51.04	49.68	0.04	[81.14, 78.78, 72.79, 59.78, 55.68, 52.19, 44.6, 42.01, 38.94]	[nan, 81.49, 71.53, 67.13, 60.11, 55.42, 52.82, 52.92, 51.04]	[83.33, 81.4, 71.96, 65.32, 59.23, 55.0, 51.72, 51.56, 49.68]	[0.25, 0.27, 0.11, 0.06, 0.02, 0.02, 0.02, 0.03, 0.04]	resisc45_cap_contrast_only	resisc45	./data	cap_contrast_only	64	20	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	5	5	45	9	checkpoint/resisc45_cap_contrast_only	[224, 224]
