base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
16.66	6.0	8.86	4.45	[26.46, 17.17, 17.13, 16.87, 16.87, 16.85, 16.67, 16.67, 16.66, 16.66]	[nan, 12.84, 14.29, 11.34, 8.76, 7.4, 6.35, 5.96, 6.2, 6.0]	[26.35, 15.57, 15.58, 13.52, 11.84, 10.64, 9.75, 9.26, 9.11, 8.86]	[4.2, 4.29, 4.47, 3.91, 5.78, 5.28, 4.74, 4.56, 4.58, 4.45]	gtsrb_contrast_and_calibration	gtsrb	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_contrast_and_calibration	[224, 224]
18.64	16.67	17.16	0.48	[40.47, 27.91, 26.96, 23.38, 22.82, 21.57, 20.46, 20.16, 19.64, 18.64]	[nan, 24.92, 34.69, 29.57, 26.16, 20.68, 18.04, 17.28, 17.18, 16.67]	[40.3, 26.79, 31.21, 27.13, 24.86, 20.9, 18.82, 18.14, 17.87, 17.16]	[0.31, 1.54, 1.08, 0.73, 0.65, 0.81, 0.76, 0.75, 0.59, 0.48]	gtsrb_contrast_and_calibration	gtsrb	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_contrast_and_calibration	[224, 224]
14.79	3.83	6.79	0.63	[21.94, 15.49, 14.96, 14.88, 14.88, 14.87, 14.87, 14.83, 14.8, 14.79]	[nan, 9.58, 6.91, 7.14, 6.51, 6.03, 5.68, 4.92, 3.97, 3.83]	[21.98, 13.27, 10.55, 10.19, 9.63, 9.04, 8.7, 7.97, 6.98, 6.79]	[0.11, 0.65, 0.77, 1.3, 1.02, 1.18, 1.14, 0.88, 0.63, 0.63]	gtsrb_contrast_and_calibration	gtsrb	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_contrast_and_calibration	[224, 224]
0.0	10.33	7.55	3.08	[27.1, 0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[nan, 29.98, 26.83, 21.84, 16.74, 14.53, 12.84, 11.62, 10.87, 10.33]	[27.17, 11.24, 14.7, 13.23, 10.39, 9.52, 8.6, 8.03, 7.85, 7.55]	[1.11, 1.78, 5.82, 5.84, 3.61, 2.98, 2.76, 2.53, 3.01, 3.08]	gtsrb_contrast_and_calibration	gtsrb	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_contrast_and_calibration	[224, 224]
17.8	18.55	18.32	3.76	[44.26, 25.43, 24.31, 21.59, 20.62, 20.09, 19.59, 18.89, 18.5, 17.8]	[nan, 26.59, 38.48, 33.47, 28.53, 23.61, 21.2, 20.1, 19.38, 18.55]	[44.28, 25.88, 32.09, 28.8, 25.53, 22.36, 20.67, 19.68, 19.13, 18.32]	[3.41, 2.23, 2.32, 3.28, 3.23, 3.61, 3.8, 3.61, 3.62, 3.76]	gtsrb_contrast_and_calibration	gtsrb	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_contrast_and_calibration	[224, 224]
15.65	18.42	17.63	0.41	[42.58, 24.84, 23.73, 20.61, 19.97, 19.09, 18.44, 17.41, 16.87, 15.65]	[nan, 32.81, 39.78, 33.58, 29.68, 23.81, 21.48, 20.43, 19.36, 18.42]	[42.33, 27.82, 32.53, 28.47, 25.98, 22.11, 20.47, 19.45, 18.67, 17.63]	[0.91, 2.4, 1.78, 1.59, 1.39, 1.2, 0.97, 0.87, 0.62, 0.41]	gtsrb_contrast_and_calibration	gtsrb	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_contrast_and_calibration	[224, 224]
23.94	3.56	9.06	2.49	[24.98, 24.1, 24.1, 24.0, 24.0, 23.96, 23.94, 23.94, 23.94, 23.94]	[nan, 1.85, 6.06, 4.14, 4.32, 4.07, 3.6, 3.55, 3.68, 3.56]	[24.98, 15.77, 14.22, 11.98, 11.72, 10.88, 10.3, 9.84, 9.32, 9.06]	[4.1, 2.5, 3.38, 2.86, 2.9, 2.79, 2.54, 2.55, 2.55, 2.49]	gtsrb_contrast_and_calibration	gtsrb	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_contrast_and_calibration	[224, 224]
25.86	6.76	11.92	1.68	[31.61, 27.23, 26.77, 26.39, 26.34, 26.28, 26.24, 25.99, 25.99, 25.86]	[nan, 8.74, 9.42, 9.73, 9.52, 8.53, 7.86, 7.84, 7.0, 6.76]	[31.57, 20.3, 17.27, 16.3, 15.86, 14.62, 13.91, 13.44, 12.28, 11.92]	[1.17, 1.71, 3.19, 2.49, 2.27, 1.99, 1.76, 1.66, 1.75, 1.68]	gtsrb_contrast_and_calibration	gtsrb	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_contrast_and_calibration	[224, 224]
0.29	7.02	5.2	1.28	[26.15, 4.48, 4.48, 4.48, 4.48, 0.28, 0.28, 0.28, 0.28, 0.29]	[nan, 22.06, 14.25, 10.81, 8.94, 9.26, 8.65, 8.18, 7.28, 7.02]	[26.12, 11.05, 9.83, 8.31, 7.25, 6.16, 5.89, 5.73, 5.33, 5.2]	[2.69, 2.78, 1.27, 2.25, 1.71, 1.29, 1.23, 1.33, 1.31, 1.28]	gtsrb_contrast_and_calibration	gtsrb	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_contrast_and_calibration	[224, 224]
6.25	7.25	6.97	3.73	[23.14, 6.92, 6.89, 6.68, 6.58, 6.56, 6.56, 6.25, 6.25, 6.25]	[nan, 21.42, 15.59, 14.75, 11.85, 9.69, 8.89, 7.73, 7.55, 7.25]	[22.95, 12.31, 11.64, 11.56, 9.85, 8.59, 8.12, 7.26, 7.19, 6.97]	[0.86, 2.84, 4.21, 4.55, 3.52, 4.02, 3.9, 3.62, 3.86, 3.73]	gtsrb_contrast_and_calibration	gtsrb	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_contrast_and_calibration	[224, 224]
