base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
63.61	72.08	71.2	0.02	[83.12, 77.61, 76.1, 73.43, 69.68, 68.61, 67.64, 66.27, 64.61, 63.61]	[nan, 83.2, 84.09, 83.05, 80.0, 77.95, 77.98, 75.68, 73.46, 72.08]	[83.39, 80.25, 81.18, 80.42, 77.73, 76.23, 76.34, 74.45, 72.45, 71.2]	[0.1, 0.05, 0.04, 0.02, 0.03, 0.03, 0.02, 0.03, 0.03, 0.02]	food101_cap_contrast_only	food101	./data	cap_contrast_only	64	10	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	11	10	101	10	checkpoint/food101_cap_contrast_only	[224, 224]
63.69	72.05	71.19	0.0	[83.03, 77.83, 76.27, 73.32, 69.86, 68.72, 67.77, 66.27, 64.71, 63.69]	[nan, 82.92, 83.92, 82.93, 79.93, 77.91, 77.94, 75.66, 73.45, 72.05]	[83.3, 80.2, 81.11, 80.28, 77.71, 76.21, 76.33, 74.43, 72.45, 71.19]	[0.07, 0.02, 0.02, 0.0, 0.01, 0.01, 0.0, 0.0, 0.01, 0.0]	food101_cap_contrast_only	food101	./data	cap_contrast_only	64	20	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	11	10	101	10	checkpoint/food101_cap_contrast_only	[224, 224]
63.82	72.06	71.22	0.01	[83.47, 77.89, 76.34, 73.64, 70.04, 68.86, 67.89, 66.47, 64.81, 63.82]	[nan, 83.05, 84.02, 83.01, 79.97, 77.93, 77.96, 75.67, 73.46, 72.06]	[83.73, 80.33, 81.22, 80.45, 77.78, 76.26, 76.37, 74.47, 72.47, 71.22]	[0.06, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.01, 0.01, 0.01]	food101_cap_contrast_only	food101	./data	cap_contrast_only	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	11	10	101	10	checkpoint/food101_cap_contrast_only	[224, 224]
63.65	72.04	71.18	0.0	[82.9, 77.72, 76.16, 73.25, 69.81, 68.68, 67.73, 66.21, 64.67, 63.65]	[nan, 82.92, 83.9, 82.93, 79.91, 77.89, 77.92, 75.65, 73.44, 72.04]	[83.17, 80.14, 81.06, 80.26, 77.69, 76.19, 76.31, 74.41, 72.43, 71.18]	[0.02, 0.02, 0.02, 0.01, 0.02, 0.02, 0.01, 0.01, 0.01, 0.0]	food101_cap_contrast_only	food101	./data	cap_contrast_only	64	20	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	11	10	101	10	checkpoint/food101_cap_contrast_only	[224, 224]
63.19	72.13	71.21	0.07	[83.36, 77.92, 76.31, 73.55, 69.56, 68.37, 67.17, 65.62, 64.1, 63.19]	[nan, 83.05, 84.09, 83.13, 80.09, 78.04, 78.05, 75.75, 73.52, 72.13]	[83.57, 80.35, 81.27, 80.51, 77.78, 76.26, 76.34, 74.42, 72.44, 71.21]	[0.21, 0.02, 0.01, 0.02, 0.04, 0.05, 0.07, 0.12, 0.09, 0.07]	food101_cap_contrast_only	food101	./data	cap_contrast_only	64	20	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	11	10	101	10	checkpoint/food101_cap_contrast_only	[224, 224]
61.99	72.25	71.19	0.02	[83.45, 77.38, 75.77, 72.76, 68.48, 67.3, 66.09, 64.36, 62.89, 61.99]	[nan, 83.81, 84.46, 83.37, 80.32, 78.22, 78.22, 75.9, 73.64, 72.25]	[83.71, 80.44, 81.32, 80.49, 77.72, 76.21, 76.31, 74.38, 72.4, 71.19]	[0.36, 0.27, 0.2, 0.05, 0.05, 0.04, 0.02, 0.03, 0.02, 0.02]	food101_cap_contrast_only	food101	./data	cap_contrast_only	64	20	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	11	10	101	10	checkpoint/food101_cap_contrast_only	[224, 224]
62.76	72.09	71.13	0.02	[82.89, 77.32, 75.78, 72.97, 68.98, 67.92, 66.79, 65.3, 63.7, 62.76]	[nan, 83.25, 84.13, 83.06, 80.01, 77.97, 77.99, 75.7, 73.48, 72.09]	[83.16, 80.12, 81.1, 80.3, 77.58, 76.11, 76.22, 74.34, 72.36, 71.13]	[0.1, 0.02, 0.02, 0.04, 0.03, 0.03, 0.03, 0.04, 0.02, 0.02]	food101_cap_contrast_only	food101	./data	cap_contrast_only	64	10	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	11	10	101	10	checkpoint/food101_cap_contrast_only	[224, 224]
63.82	72.07	71.21	0.01	[83.43, 77.83, 76.29, 73.59, 70.03, 68.86, 67.89, 66.5, 64.79, 63.82]	[nan, 83.12, 84.03, 83.02, 79.97, 77.96, 77.97, 75.68, 73.47, 72.07]	[83.69, 80.33, 81.21, 80.44, 77.78, 76.28, 76.37, 74.48, 72.47, 71.21]	[0.11, 0.05, 0.06, 0.03, 0.03, 0.02, 0.01, 0.0, 0.0, 0.01]	food101_cap_contrast_only	food101	./data	cap_contrast_only	64	20	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	11	10	101	10	checkpoint/food101_cap_contrast_only	[224, 224]
63.69	72.06	71.2	0.01	[83.47, 77.83, 76.28, 73.6, 69.99, 68.8, 67.8, 66.38, 64.68, 63.69]	[nan, 83.03, 83.99, 83.0, 79.96, 77.93, 77.96, 75.67, 73.45, 72.06]	[83.73, 80.28, 81.18, 80.43, 77.77, 76.24, 76.35, 74.45, 72.45, 71.2]	[0.11, 0.05, 0.03, 0.03, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]	food101_cap_contrast_only	food101	./data	cap_contrast_only	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	11	10	101	10	checkpoint/food101_cap_contrast_only	[224, 224]
63.29	72.02	71.12	0.01	[82.63, 77.54, 75.97, 73.03, 69.41, 68.28, 67.34, 65.94, 64.34, 63.29]	[nan, 82.75, 83.81, 82.87, 79.85, 77.85, 77.89, 75.62, 73.43, 72.02]	[82.9, 79.96, 80.93, 80.16, 77.55, 76.08, 76.22, 74.35, 72.39, 71.12]	[0.02, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01]	food101_cap_contrast_only	food101	./data	cap_contrast_only	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	11	10	101	10	checkpoint/food101_cap_contrast_only	[224, 224]
