base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
61.62	62.28	62.24	15.33	[72.04, 67.12, 64.34, 63.88, 62.78, 62.59, 62.01, 61.88, 61.68, 61.62]	[nan, 66.03, 71.17, 67.03, 68.45, 67.25, 65.12, 63.11, 61.23, 62.28]	[76.0, 66.48, 69.07, 66.41, 67.65, 66.62, 65.26, 63.08, 61.67, 62.24]	[10.89, 13.18, 12.51, 13.8, 14.27, 15.41, 14.75, 15.11, 15.06, 15.33]	cub200_contrast_and_calibration	cub200	data/CUB_200_2011	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	20	20	200	10	checkpoint/cub200_contrast_and_calibration	[224, 224]
87.31	75.5	76.57	0.55	[93.33, 91.13, 88.93, 88.28, 88.09, 87.77, 87.51, 87.38, 87.31, 87.31]	[nan, 74.9, 80.41, 78.18, 79.71, 79.24, 77.89, 75.99, 74.63, 75.5]	[94.28, 82.36, 83.05, 80.59, 81.36, 80.79, 79.38, 77.64, 76.31, 76.57]	[0.32, 0.63, 0.4, 0.38, 0.26, 0.33, 0.17, 0.53, 0.46, 0.55]	cub200_contrast_and_calibration	cub200	data/CUB_200_2011	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	20	20	200	10	checkpoint/cub200_contrast_and_calibration	[224, 224]
76.44	73.33	73.63	0.39	[80.71, 78.77, 77.74, 77.15, 76.76, 76.63, 76.57, 76.57, 76.44, 76.44]	[nan, 72.52, 77.85, 75.6, 77.45, 77.68, 75.63, 73.64, 72.11, 73.33]	[83.45, 75.34, 77.83, 76.18, 77.54, 77.9, 76.11, 74.22, 73.02, 73.63]	[2.68, 1.64, 1.31, 0.85, 0.77, 0.57, 0.46, 0.53, 0.43, 0.39]	cub200_contrast_and_calibration	cub200	data/CUB_200_2011	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	20	20	200	10	checkpoint/cub200_contrast_and_calibration	[224, 224]
76.57	73.22	73.54	0.69	[80.71, 78.9, 77.67, 77.28, 77.22, 77.09, 76.76, 76.76, 76.7, 76.57]	[nan, 72.46, 78.34, 75.43, 77.59, 77.73, 75.6, 73.67, 71.95, 73.22]	[83.44, 75.37, 78.18, 76.07, 77.75, 78.01, 76.11, 74.24, 72.9, 73.54]	[2.42, 1.98, 1.31, 0.87, 0.72, 0.64, 0.7, 0.83, 0.8, 0.69]	cub200_contrast_and_calibration	cub200	data/CUB_200_2011	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	20	20	200	10	checkpoint/cub200_contrast_and_calibration	[224, 224]
91.13	74.44	75.94	0.6	[93.66, 92.75, 91.97, 91.65, 91.52, 91.26, 91.2, 91.13, 91.13, 91.13]	[nan, 71.71, 77.28, 76.0, 78.15, 77.95, 76.52, 74.91, 73.36, 74.44]	[94.56, 81.4, 81.76, 79.66, 80.72, 80.28, 78.7, 77.02, 75.46, 75.94]	[0.16, 1.53, 0.43, 0.74, 0.7, 0.6, 0.67, 0.68, 0.73, 0.6]	cub200_contrast_and_calibration	cub200	data/CUB_200_2011	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	20	20	200	10	checkpoint/cub200_contrast_and_calibration	[224, 224]
79.55	73.13	73.73	0.44	[82.2, 81.23, 80.45, 80.13, 80.0, 79.8, 79.67, 79.67, 79.55, 79.55]	[nan, 72.18, 78.17, 75.11, 77.39, 77.66, 75.49, 73.6, 71.89, 73.13]	[84.72, 76.3, 78.91, 76.47, 78.08, 78.35, 76.38, 74.48, 73.14, 73.73]	[1.52, 1.17, 0.62, 0.42, 0.32, 0.35, 0.34, 0.45, 0.45, 0.44]	cub200_contrast_and_calibration	cub200	data/CUB_200_2011	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	20	20	200	10	checkpoint/cub200_contrast_and_calibration	[224, 224]
0.26	0.68	0.64	0.19	[7.25, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26]	[nan, 5.68, 3.13, 2.14, 1.56, 1.28, 1.06, 0.91, 0.77, 0.68]	[16.87, 3.11, 2.23, 1.69, 1.31, 1.1, 0.94, 0.82, 0.7, 0.64]	[2.48, 0.58, 0.42, 0.49, 0.48, 0.4, 0.34, 0.28, 0.22, 0.19]	cub200_contrast_and_calibration	cub200	data/CUB_200_2011	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	1.0	-1	1.0	False	False	True	False	20	20	200	10	checkpoint/cub200_contrast_and_calibration	[224, 224]
25.83	49.01	46.96	28.61	[58.64, 26.15, 25.95, 25.89, 25.89, 25.89, 25.89, 25.83, 25.83, 25.83]	[nan, 53.45, 56.13, 52.27, 52.77, 52.85, 51.1, 49.65, 47.98, 49.01]	[59.78, 40.58, 46.93, 46.49, 48.11, 49.12, 48.27, 47.27, 46.16, 46.96]	[27.09, 26.0, 26.91, 27.09, 28.57, 29.29, 28.79, 28.48, 28.17, 28.61]	cub200_contrast_and_calibration	cub200	data/CUB_200_2011	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	20	20	200	10	checkpoint/cub200_contrast_and_calibration	[224, 224]
88.67	75.15	76.38	1.28	[93.59, 91.52, 89.58, 89.06, 89.06, 88.93, 88.74, 88.74, 88.74, 88.67]	[nan, 75.19, 79.99, 77.33, 79.16, 79.06, 77.46, 75.6, 74.19, 75.15]	[94.5, 82.68, 82.94, 80.14, 81.1, 80.84, 79.21, 77.27, 76.06, 76.38]	[0.49, 0.35, 0.47, 0.65, 0.65, 0.67, 1.17, 1.28, 1.38, 1.28]	cub200_contrast_and_calibration	cub200	data/CUB_200_2011	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	20	20	200	10	checkpoint/cub200_contrast_and_calibration	[224, 224]
80.97	73.43	74.12	0.49	[86.79, 84.98, 82.14, 81.62, 81.36, 81.16, 81.1, 81.1, 81.03, 80.97]	[nan, 72.0, 78.28, 75.45, 77.62, 77.85, 75.83, 74.08, 72.21, 73.43]	[88.66, 77.95, 79.49, 77.05, 78.51, 78.71, 76.86, 75.07, 73.56, 74.12]	[3.4, 2.07, 1.64, 1.19, 0.93, 0.8, 0.57, 0.42, 0.56, 0.49]	cub200_contrast_and_calibration	cub200	data/CUB_200_2011	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	20	20	200	10	checkpoint/cub200_contrast_and_calibration	[224, 224]
